method,source_path,source_basename,drive_folder,drive_file_id,public_url,size_bytes
joint_ar,/Volumes/home/litgpt_compose/out/32bars/vanilla1-1_chord_conditioning_random_init_vector_prob_model/step-00006144/400samples/midis/logic_batch_20260712_155431/mp3/sample_1783829638436000_song0004_bar0020.mp3,sample_1783829638436000_song0004_bar0020.mp3,joint_ar,1xBxFPTi6TB6UT42jiAwKU61xhsTFvFfn,https://drive.google.com/uc?export=download&id=1xBxFPTi6TB6UT42jiAwKU61xhsTFvFfn,1084340
joint_ar,/Volumes/home/litgpt_compose/out/32bars/vanilla1-1_chord_conditioning_random_init_vector_prob_model/step-00006144/400samples/midis/logic_batch_20260712_155431/mp3/sample_1783829639752000_song0004_bar0077.mp3,sample_1783829639752000_song0004_bar0077.mp3,joint_ar,1jJQPU_GtM4liAWXpgNcntf7e_b1PZa77,https://drive.google.com/uc?export=download&id=1jJQPU_GtM4liAWXpgNcntf7e_b1PZa77,1071020
joint_ar,/Volumes/home/litgpt_compose/out/32bars/vanilla1-1_chord_conditioning_random_init_vector_prob_model/step-00006144/400samples/midis/logic_batch_20260712_155431/mp3/sample_1783829641073000_song0020_bar0033.mp3,sample_1783829641073000_song0020_bar0033.mp3,joint_ar,1ghPAxiISHYPZ0VP4FyLgvDnRDmHVuk-r,https://drive.google.com/uc?export=download&id=1ghPAxiISHYPZ0VP4FyLgvDnRDmHVuk-r,1095836
joint_ar,/Volumes/home/litgpt_compose/out/32bars/vanilla1-1_chord_conditioning_random_init_vector_prob_model/step-00006144/400samples/midis/logic_batch_20260712_155431/mp3/sample_1783829642417000_song0023_bar0018.mp3,sample_1783829642417000_song0023_bar0018.mp3,joint_ar,1tFIw4XFdoEOj22hA42kgQYjuQ9T7dCzY,https://drive.google.com/uc?export=download&id=1tFIw4XFdoEOj22hA42kgQYjuQ9T7dCzY,1162844
joint_ar,/Volumes/home/litgpt_compose/out/32bars/vanilla1-1_chord_conditioning_random_init_vector_prob_model/step-00006144/400samples/midis/logic_batch_20260712_155431/mp3/sample_1783829643767000_song0033_bar0002.mp3,sample_1783829643767000_song0033_bar0002.mp3,joint_ar,1kU5of_tnlchMt9ETMrJWmueuxGI0lFJQ,https://drive.google.com/uc?export=download&id=1kU5of_tnlchMt9ETMrJWmueuxGI0lFJQ,1110956
joint_ar,/Volumes/home/litgpt_compose/out/32bars/vanilla1-1_chord_conditioning_random_init_vector_prob_model/step-00006144/400samples/midis/logic_batch_20260712_155431/mp3/sample_1783829645105000_song0025_bar0044.mp3,sample_1783829645105000_song0025_bar0044.mp3,joint_ar,11P0bHspY4pyExUKf0IZsSs6Dluttm6L6,https://drive.google.com/uc?export=download&id=11P0bHspY4pyExUKf0IZsSs6Dluttm6L6,1129292
joint_ar,/Volumes/home/litgpt_compose/out/32bars/vanilla1-1_chord_conditioning_random_init_vector_prob_model/step-00006144/400samples/midis/logic_batch_20260712_155431/mp3/sample_1783829646469000_song0012_bar0004.mp3,sample_1783829646469000_song0012_bar0004.mp3,joint_ar,13RomAKC_Tkvspwz1ZRYMEHC1VCV8VBC6,https://drive.google.com/uc?export=download&id=13RomAKC_Tkvspwz1ZRYMEHC1VCV8VBC6,1096148
joint_ar,/Volumes/home/litgpt_compose/out/32bars/vanilla1-1_chord_conditioning_random_init_vector_prob_model/step-00006144/400samples/midis/logic_batch_20260712_155431/mp3/sample_1783829647809000_song0038_bar0021.mp3,sample_1783829647809000_song0038_bar0021.mp3,joint_ar,1U25EHLH1i7GgPv_KnepJIOc-UOwYKQn_,https://drive.google.com/uc?export=download&id=1U25EHLH1i7GgPv_KnepJIOc-UOwYKQn_,1114124
joint_ar,/Volumes/home/litgpt_compose/out/32bars/vanilla1-1_chord_conditioning_random_init_vector_prob_model/step-00006144/400samples/midis/logic_batch_20260712_155431/mp3/sample_1783829649157000_song0005_bar0012.mp3,sample_1783829649157000_song0005_bar0012.mp3,joint_ar,1EY4SxQX_aCtMLHlUR0WuMunV-BXTwtBB,https://drive.google.com/uc?export=download&id=1EY4SxQX_aCtMLHlUR0WuMunV-BXTwtBB,1070828
joint_ar,/Volumes/home/litgpt_compose/out/32bars/vanilla1-1_chord_conditioning_random_init_vector_prob_model/step-00006144/400samples/midis/logic_batch_20260712_155431/mp3/sample_1783829650484000_song0017_bar0060.mp3,sample_1783829650484000_song0017_bar0060.mp3,joint_ar,1hm3OMH1KZ1Hl461jrfeQwn37R9W20V2O,https://drive.google.com/uc?export=download&id=1hm3OMH1KZ1Hl461jrfeQwn37R9W20V2O,1075340
