method,source_path,source_basename,drive_folder,drive_file_id,public_url,size_bytes
seq_flow,/Volumes/home/litgpt_compose/out/32bars/vanilla1-1_flow/step-00020480/samples200/midis/logic_batch_20260710_141759/mp3/sample_1783593016615000_song0013_bar0096.mp3,sample_1783593016615000_song0013_bar0096.mp3,seq_flow,1hmQhOtB57g2Iq82BGtga3db1rG8beTH_,audio/seq_flow/sample_1783593016615000_song0013_bar0096.mp3,1046492
seq_flow,/Volumes/home/litgpt_compose/out/32bars/vanilla1-1_flow/step-00020480/samples200/midis/logic_batch_20260710_141759/mp3/sample_1783593009931000_song0003_bar0006.mp3,sample_1783593009931000_song0003_bar0006.mp3,seq_flow,1tWwWJSvSuHQ7qeNYMMoqDYJw4h6bxtvp,audio/seq_flow/sample_1783593009931000_song0003_bar0006.mp3,1048940
seq_flow,/Volumes/home/litgpt_compose/out/32bars/vanilla1-1_flow/step-00020480/samples200/midis/logic_batch_20260710_141759/mp3/sample_1783593037313000_song0037_bar0003.mp3,sample_1783593037313000_song0037_bar0003.mp3,seq_flow,1XX5AXe_3le_gxCufCt_QprcJI8IsFtqC,audio/seq_flow/sample_1783593037313000_song0037_bar0003.mp3,1044524
seq_flow,/Volumes/home/litgpt_compose/out/32bars/vanilla1-1_flow/step-00020480/samples200/midis/logic_batch_20260710_141759/mp3/sample_1783592913044000_song0014_bar0054.mp3,sample_1783592913044000_song0014_bar0054.mp3,seq_flow,1F2R-_VYAU_a2OWhN6TFUBvTOSBrpv5-G,audio/seq_flow/sample_1783592913044000_song0014_bar0054.mp3,1032428
seq_flow,/Volumes/home/litgpt_compose/out/32bars/vanilla1-1_flow/step-00020480/samples200/midis/logic_batch_20260710_141759/mp3/sample_1783592968432000_song0022_bar0025.mp3,sample_1783592968432000_song0022_bar0025.mp3,seq_flow,1PkDYYwiFwxT4ytMC7bL1uZ7wcrkGWIw4,audio/seq_flow/sample_1783592968432000_song0022_bar0025.mp3,1059620
seq_flow,/Volumes/home/litgpt_compose/out/32bars/vanilla1-1_flow/step-00020480/samples200/midis/logic_batch_20260710_141759/mp3/sample_1783592961820000_song0023_bar0006.mp3,sample_1783592961820000_song0023_bar0006.mp3,seq_flow,1lzcmWJIZNABvz0A0yLglRaIDlVfisgwE,audio/seq_flow/sample_1783592961820000_song0023_bar0006.mp3,995996
seq_flow,/Volumes/home/litgpt_compose/out/32bars/vanilla1-1_flow/step-00020480/samples200/midis/logic_batch_20260710_141759/mp3/sample_1783592920407000_song0043_bar0060.mp3,sample_1783592920407000_song0043_bar0060.mp3,seq_flow,1bZo0WM6sGd36tYQEjR6kV7qUa2t-lBvh,audio/seq_flow/sample_1783592920407000_song0043_bar0060.mp3,1039604
seq_flow,/Volumes/home/litgpt_compose/out/32bars/vanilla1-1_flow/step-00020480/samples200/midis/logic_batch_20260710_141759/mp3/sample_1783592900495000_song0037_bar0007.mp3,sample_1783592900495000_song0037_bar0007.mp3,seq_flow,1kT3-tHVBolARdb822ILvFuL5-Hrsrcic,audio/seq_flow/sample_1783592900495000_song0037_bar0007.mp3,1049636
seq_flow,/Volumes/home/litgpt_compose/out/32bars/vanilla1-1_flow/step-00020480/samples200/midis/logic_batch_20260710_141759/mp3/sample_1783592952267000_song0028_bar0018.mp3,sample_1783592952267000_song0028_bar0018.mp3,seq_flow,12-urztUPQnDBJG6wAFMS7cDlD_CWrqkE,audio/seq_flow/sample_1783592952267000_song0028_bar0018.mp3,1057964
seq_flow,/Volumes/home/litgpt_compose/out/32bars/vanilla1-1_flow/step-00020480/samples200/midis/logic_batch_20260710_141759/mp3/sample_1783592932917000_song0008_bar0032.mp3,sample_1783592932917000_song0008_bar0032.mp3,seq_flow,1WiF1SJ002lTmrb7VzI4SUOAWs_fIthZR,audio/seq_flow/sample_1783592932917000_song0008_bar0032.mp3,1059692
seq_flow,/Volumes/home/litgpt_compose/out/32bars/vanilla1-1_flow/step-00020480/samples200/midis/logic_batch_20260710_141759/mp3/sample_1783593038783000_song0030_bar0003.mp3,sample_1783593038783000_song0030_bar0003.mp3,seq_flow,1Bvl50dC-k9-TheYs-wq0rhN7a3Ce9ovV,audio/seq_flow/sample_1783593038783000_song0030_bar0003.mp3,1042796
seq_flow,/Volumes/home/litgpt_compose/out/32bars/vanilla1-1_flow/step-00020480/samples200/midis/logic_batch_20260710_141759/mp3/sample_1783593007549000_song0013_bar0011.mp3,sample_1783593007549000_song0013_bar0011.mp3,seq_flow,1BIKPuybsXpThQzi7_HQ-ixt4ZUwH-ftb,audio/seq_flow/sample_1783593007549000_song0013_bar0011.mp3,1044188
seq_flow,/Volumes/home/litgpt_compose/out/32bars/vanilla1-1_flow/step-00020480/samples200/midis/logic_batch_20260710_141759/mp3/sample_1783592950787000_song0043_bar0019.mp3,sample_1783592950787000_song0043_bar0019.mp3,seq_flow,1K81gCMztyES2nGbxfqouSpywqicuN-5g,audio/seq_flow/sample_1783592950787000_song0043_bar0019.mp3,1063004
seq_flow,/Volumes/home/litgpt_compose/out/32bars/vanilla1-1_flow/step-00020480/samples200/midis/logic_batch_20260710_141759/mp3/sample_1783592991376000_song0022_bar0016.mp3,sample_1783592991376000_song0022_bar0016.mp3,seq_flow,1BE7rKGoT_qorBK9eVHDbElXz-3ozLQg1,audio/seq_flow/sample_1783592991376000_song0022_bar0016.mp3,1053836
seq_flow,/Volumes/home/litgpt_compose/out/32bars/vanilla1-1_flow/step-00020480/samples200/midis/logic_batch_20260710_141759/mp3/sample_1783592940468000_song0018_bar0029.mp3,sample_1783592940468000_song0018_bar0029.mp3,seq_flow,1V3qv3DVLtEPza0FYfzMgAbXypgABMd17,audio/seq_flow/sample_1783592940468000_song0018_bar0029.mp3,1038980
seq_flow,/Volumes/home/litgpt_compose/out/32bars/vanilla1-1_flow/step-00020480/samples200/midis/logic_batch_20260710_141759/mp3/sample_1783592938813000_song0039_bar0000.mp3,sample_1783592938813000_song0039_bar0000.mp3,seq_flow,1Q8dP_iHxmEqzcYbW1TXko_NfAXFTrCYQ,audio/seq_flow/sample_1783592938813000_song0039_bar0000.mp3,1042628
